date,tag,title,link
2020/12/15,network,kubernetes 下 vxlan 導致的 63 delay問題,https://www.facebook.com/technologynoteniu/posts/183787650122042
2020/12/14,container,如何透過安全掃描工具來提升 Container Image 的安全性,https://www.facebook.com/technologynoteniu/posts/183046206862853
2020/12/13,others,DevOps 面試時可能會問到的相關問題,https://www.facebook.com/technologynoteniu/posts/182329460267861
2020/12/12,others,JVM 應用程式效能上的部署問題,https://www.facebook.com/technologynoteniu/posts/181801863653954
2020/12/11,introduction,Stateful 的概念介紹,https://www.facebook.com/technologynoteniu/posts/180810593753081
2020/12/11,container,若不使用 Docker，可以使用什麼服務?,https://www.facebook.com/technologynoteniu/posts/181027540398053
2020/12/10,tool,2021 DevOps/SRE 可注意的工具,https://www.facebook.com/technologynoteniu/posts/180100747157399
2020/12/9,network,探討 Kubernetes 內的 timeout 問題,https://www.facebook.com/technologynoteniu/posts/179351013899039
2020/12/9,container,探討 Kubernetes x Docker x OCI 的差異,https://www.facebook.com/technologynoteniu/posts/179715440529263
2020/12/8,others,探討不同類型的架設模式,https://www.facebook.com/technologynoteniu/posts/178555590645248
2020/12/7,tool,使用 Helm Secret 於 Helm Chart 中保護你的 Secret 內容,https://www.facebook.com/technologynoteniu/posts/177758844058256
2020/12/5,cicd,使用 Flagger 幫你的應用程式導入金絲雀部署,https://www.facebook.com/technologynoteniu/posts/176167600884047
2020/12/5,introduction,探討 SLO 的設定技巧與概念,https://www.facebook.com/technologynoteniu/posts/176971417470332
2020/12/4,terraform,Terraform 於 CI/CD 來自動化你的架構修改,https://www.facebook.com/technologynoteniu/posts/175367334297407
2020/12/3,introduction,Kubernetes 1.20 逐漸移除 dockershim,https://www.facebook.com/technologynoteniu/posts/173877564446384
2020/12/3,usecases,TSMC 徵求 DevOps (Kubernetes) 人才,https://www.facebook.com/technologynoteniu/posts/173262897841184
2020/12/2,network,Flannel CNI 下潛在的 IP 重複問題,https://www.facebook.com/technologynoteniu/posts/173074947859979
2020/12/1,network,CNI Calico 安裝的選擇,https://www.facebook.com/technologynoteniu/posts/172101251290682
2020/11/30,cicd,使用 CircleCI & ArgoCD 來幫 k8s 打造 GitOps,https://www.facebook.com/technologynoteniu/posts/170963384737802
2020/11/29,cicd,使用 DORA 幫你的 DevOps 效率進行測量,https://www.facebook.com/technologynoteniu/posts/170022318165242
2020/11/27,observability,探討可觀測性的幾個重要 API,https://www.facebook.com/technologynoteniu/posts/168920628275411
2020/11/26,cicd,GitOps 中如何做好 Secret Management,https://www.facebook.com/technologynoteniu/posts/168101821690625
2020/11/25,usecases,etcd 正式從 CNCF 畢業囉,https://www.facebook.com/technologynoteniu/posts/166916091809198
2020/11/23,network,地端 LoadBalancer 解決方案: porter,https://www.facebook.com/technologynoteniu/posts/165664161934391
2020/11/21,terraform,Terraform 開發的經驗與技巧,https://www.facebook.com/technologynoteniu/posts/163027828864691
2020/11/21,usecases,Windows Node 使用經驗分享,https://www.facebook.com/technologynoteniu/posts/162808032220004
2020/11/21,container,Docker 網路模型實驗篇下,https://www.facebook.com/technologynoteniu/posts/163174748849999
